SMILES,A,B,C,id
C/C=C(P(C1=CC=CC=C1)C2=CC=CC=C2)\C=C,2.5,0.0,0.0,2
CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,65.0,23.6,0.0,3
[2H]C(C1=CC=CC=C1P(C2=CC=CC=C2C([2H])([2H])[2H])C3=CC=CC=C3C([2H])([2H])[2H])([2H])[2H],60.0,0.0,0.0,4
CCC1=CC=CC=C1P(C2=CC=CC=C2CC)C3=CC=CC=C3CC,51.0,18.1,0.0,5
CCCC1=CC=CC=C1P(C2=CC=CC=C2CCC)C3=CC=CC=C3CCC,17.0,0.0,0.0,6
CC(C)C1=CC=CC=C1P(C2=CC=CC=C2C(C)C)C3=CC=CC=C3C(C)C,22.0,0.0,0.0,7
C1(C2CCCC2)=CC=CC=C1P(C3=CC=CC=C3C4CCCC4)C5=CC=CC=C5C6CCCC6,46.0,0.0,0.0,8
CC1=CC(C(F)(F)F)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2C)C3=CC=C(C(F)(F)F)C=C3C,41.0,9.1,0.0,9
CC1=CC(OC)=CC=C1P(C2=CC=C(OC)C=C2C)C3=CC=C(OC)C=C3C,83.0,18.4,0.0,10
CC1=CC(N(C)C)=CC=C1P(C2=CC=C(N(C)C)C=C2C)C3=CC=C(N(C)C)C=C3C,60.0,16.6,0.0,11
C1(CC2=CC=CC=C2)=CC=CC=C1P(C3=CC=CC=C3CC4=CC=CC=C4)C5=CC=CC=C5CC6=CC=CC=C6,55.0,9.3,0.0,12
C1([As](C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,31.0,0.0,0.0,13
C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,31.0,0.0,0.0,14
C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,2.0,0.0,0.0,15
CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,3.0,0.0,0.0,16
COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,10.5,24.5,0.0,17
CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(OC)C=CC(OC)=C2P(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)C,1.0,0.0,0.0,18
CC(P(C(C)(C)C)C1=C(OC)C=CC(OC)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)(C)C,2.0,0.0,0.0,19
CC(OC1=CC=CC(OC(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,11.5,16.1,0.0,1
COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,79.0,16.8,0.0,20
CC(C)OC1=CC=C(P(C2=CC=C(OC(C)C)C=C2C)C3=CC=C(OC(C)C)C=C3C)C(C)=C1,0.0,28.8,0.0,21
FC(C=C1C)=CC=C1P(C2=CC=C(F)C=C2C)C3=CC=C(F)C=C3C,0.0,27.9,0.0,22
FC1=CC=C(C)C(P(C2=CC(F)=CC=C2C)C3=CC(F)=CC=C3C)=C1,0.0,6.4,0.0,23
FCC1=CC=CC=C1P(C2=CC=CC=C2CF)C3=CC=CC=C3CF,0.0,21.3,0.0,24
C1(P(C2=CC=CC=C2C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,0.0,13.7,0.0,25
CC1=CC=CC=C1P(C2=CC=CC=C2C3=CC=CC=C3)C4=CC=CC=C4C,0.0,5.8,0.0,26
CC1=CC=CC=C1P(C2=CC=CC=C2CC3=CC=CC=C3)C4=CC=CC=C4C,0.0,34.3,0.0,27
COC(C=CC=C1)=C1C2=CC=CC=C2P(C3=CC=CC=C3C4=C(OC)C=CC=C4)C5=CC=CC=C5C6=C(OC)C=CC=C6,0.0,22.3,0.0,28
C1(C2=C(C=CC=C3)C3=CC=C2)=CC=CC=C1P(C4=CC=CC=C4C5=C(C=CC=C6)C6=CC=C5)C7=CC=CC=C7C8=C(C=CC=C9)C9=CC=C8,0.0,2.4,0.0,29
COC1=CC(OC)=C(C=C1)P2[C@@]3(C)O[C@]4(C)O[C@](O[C@@]2(C)C4)(C)C3,0.0,29.0,2.5,30
COC1=CC(OC(C)C)=C(C=C1)P2[C@@]3(C)O[C@]4(C)O[C@](O[C@@]2(C)C4)(C)C3,0.0,40.8,24.4,31
COC1=CC(OC2CCCC2)=C(C=C1)P3[C@@]4(C)O[C@]5(C)O[C@](O[C@@]3(C)C5)(C)C4,0.0,0.0,29.1,32
COC1=CC(OCC2=CC=CC=C2)=C(C=C1)P3[C@@]4(C)O[C@]5(C)O[C@](O[C@@]3(C)C5)(C)C4,0.0,0.0,19.9,33
COC1=CC(C)=C(C=C1)P2[C@@]3(C)O[C@]4(C)O[C@](O[C@@]2(C)C4)(C)C3,0.0,0.0,22.0,34
[H]C1=CC(C)=C(C=C1)P2[C@@]3(C)O[C@]4(C)O[C@](O[C@@]2(C)C4)(C)C3,0.0,0.0,31.2,35
[H]C1=CC(C2=CC=CC=C2)=C(C=C1)P3[C@@]4(C)O[C@]5(C)O[C@](O[C@@]3(C)C5)(C)C4,0.0,0.0,0.001,36
[H]C1=CC(CC2=CC=CC=C2)=C(C=C1)P3[C@@]4(C)O[C@]5(C)O[C@](O[C@@]3(C)C5)(C)C4,0.0,0.0,34.1,37
FC(C1=CC(OC(C)C)=C(C=C1)P2[C@@]3(C)O[C@]4(C)O[C@](O[C@@]2(C)C4)(C)C3)(F)F,0.0,0.0,24.2,38
FC(C1=CC=C(C=C1)P2[C@@]3(C)O[C@]4(C)O[C@](O[C@@]2(C)C4)(C)C3)(F)F,0.0,0.0,16.6,39
