,smiles,bb,count,npa,filename,opt_step_limit_reached
0,Br/C=C/C1=CCC=CO1,BB5,17.0,-0.24129,,0.0
1,Br/C=C/C1CCCO1,BB1,1.0,-0.2578,,0.0
2,Br/C=C/C=C/c1ccccc1,BB4,14.0,-0.25039,,0.0
3,Br/C=C/C=C1/CCOC1,BB4,2.0,-0.24943,,0.0
4,Br/C=C/c1ccccc1,BB5,13.0,-0.2448,,0.0
5,COC(=O)/C(=C/C(C)=C/Br)OC,BB4,1.0,-0.24075,,1.0
6,COC(=O)/C=C/C(C)=C/Br,BB4,2.0,-0.22651,,0.0
7,C/C(=C\Br)C(=O)C(C)C,BB3,1.0,-0.22803,,0.0
8,C/C(=C\Br)C(=O)NC(C)C,BB10,3.0,-0.26103,,0.0
9,C/C(=C\Br)C(=O)NC(C)C(C)C,BB7,1.0,-0.26155,,1.0
10,C/C(=C\Br)C(=O)OC1C(C)COCC1C,BB9,9.0,-0.21464,,1.0
11,C/C(=C\Br)C(=O)c1cccc(C)c1O,BB8,10.0,-0.2269,,1.0
12,C/C(=C\Br)C(=O)c1ccccc1,BB8,2.0,-0.23414,,1.0
13,C/C(=C\Br)C(C)(O)C(C)C,BB3,3.0,-0.28057,,0.0
14,C/C(=C\Br)C(O)C(C)C,BB1,17.0,-0.28871,,0.0
15,C/C(=C\Br)C(O)C(C)O,BB3,40.0,-0.28164,,0.0
16,C/C(=C\Br)C(O)C(C)c1cc(C)c(C)c(=O)o1,BB3,1.0,-0.26884,,1.0
17,C/C(=C\Br)C1C=CCCC1C,BB4,2.0,-0.27982,,0.0
18,C/C(=C\Br)C1CCCCC1(C)O,BB3,1.0,-0.28081,,0.0
19,C/C(=C\Br)CC(C)C,BB3,33.0,-0.2796,,0.0
20,C/C(=C\Br)C[C@@H](C)O,BB3,1.0,-0.2793,,0.0
21,C/C(=C\C=C\Br)C(=O)NC1=CC(=O)C=CC1=O,BB4,21.0,-0.22591,,1.0
22,C/C(=C\C=C\Br)C(=O)Nc1ccccc1,BB4,14.0,-0.23473,,1.0
23,C/C(=C\C=C\Br)C(=O)O,BB4,1.0,-0.22783,,0.0
24,C/C(=C\C=C\Br)C(N)=O,BB4,1.0,-0.2224,,0.0
25,C/C(=C\C=C\Br)C(O)C(C)C,BB4,5.0,-0.24656,,1.0
26,C/C(Br)=C/C(=O)OC(C)C,BB13,1.0,0.02377,,0.0
27,C/C(Br)=C/C(C)C(C)O,BB4,1.0,-0.03717,,0.0
28,C/C(Br)=C\C(O)C(C)C,BB3,5.0,-0.01997,,0.0
29,C/C(C(=O)O)=C(O)\C=C(/O)Br,BB4,1.0,0.35371,,1.0
30,C/C(C=O)=C\Br,BB15,1.0,-0.21471,,0.0
31,C/C=C(\C)C(=O)/C=C/Br,BB11,2.0,-0.17113,,0.0
32,C/C=C(\NC(=O)/C=C\C=C\Br)C(C)=O,BB4,1.0,-0.22147,,1.0
33,CNC(=O)C(C)(C)C(=O)/C=C/Br,BB11,1.0,-0.16033,,1.0
34,C/C=C/C(C)=C/Br,BB4,3.0,-0.25718,,0.0
35,C/C=C/C(C)=C/C(C)=C/Br,BB4,1.0,-0.26701,,1.0
36,C/C=C/C(C)=C/C(C)=C\Br,BB4,4.0,-0.26985,,0.0
37,C/C=C/C(C)=C/C=C/Br,BB1,3.0,-0.24757,,0.0
38,C/C=C/C(C)C(O)/C=C/Br,BB1,1.0,-0.24869,,0.0
39,C/C=C/C/C=C/Br,BB1,1.0,-0.26962,,0.0
40,C/C=C/C=C(C)/C(C)=C/Br,BB4,4.0,-0.26566,,1.0
41,C/C=C/C=C/C(C)=C/Br,BB4,13.0,-0.25691,,0.0
42,C/C=C/C=C/C=C/Br,BB4,94.0,-0.2534,,0.0
43,C/C=C/C=C/C=C\Br,BB4,1.0,-0.25342,,0.0
44,C/C=C/C=C\C(C)=C\Br,BB4,7.0,-0.25175,,0.0
45,C/C=C/C=C\C=C\Br,BB4,2.0,-0.24492,,0.0
46,C/C=C\Br,BB12,1.0,-0.26979,,0.0
47,C/C=C\C=C(C)/C(C)=C/Br,BB4,12.0,-0.26388,,1.0
48,C/C=C\C=C\C=C/Br,BB4,2.0,-0.25062,,0.0
49,C/C=C\C=C\C=C\Br,BB4,1.0,-0.24971,,0.0
50,C=C(Br)C(O)CC,BB12,1.0,-0.06458,,0.0
51,C=C(Br)CC(=O)OC(C)C,BB12,2.0,-0.03673,,0.0
52,C=C(Br)CC(C)O,BB12,6.0,-0.0383,,0.0
53,C=C(Br)CC(N)=O,BB2,2.0,-0.06156,,0.0
54,C=C(Br)COC(C)=O,BB4,1.0,-0.09026,,0.0
55,C=C(C)/C=C(\C)Br,BB4,5.0,-0.00701,,0.0
56,C=C(C)Br,BB12,7.0,-0.03518,,0.0
57,C=C(C)C(/C=C/C(C)=C/Br)C(C)(C)C(=O)OC,BB4,4.0,-0.25745,,1.0
